#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
13-554D	2B2A2
13-5558	2B2C4
13-555D	2B2C2
13-556D	2B305
13-5574	2B331
13-5621	2B33C
13-5627	2B33D
13-562C	2B387
13-5634	2B399
13-5636	2B397
13-563E	2B3B5
13-563F	2B3B6
13-5646	2B3B7
13-564F	2B3D2
13-5652	2B3EC
13-5659	2B3F8
13-565F	2B444
13-5661	2B43C
13-5664	2B436
13-5665	2B43A
13-5678	2B467
13-5723	2B498
13-5725	2B499
13-572F	2B49B
13-5731	2B49A
13-5744	2B495
13-576A	2B550
13-576D	2B551
13-5771	2B552
13-5776	2B55B
13-5822	2B57D
13-582E	2B5CF
13-5835	2B606
13-5837	2B609
13-584C	2B468
13-5863	2A76B
13-5877	2A76D
13-5925	2A783
13-592F	2A7AE
13-5944	2A819
13-5946	2A71F
13-5959	2A881
13-595B	2A889
13-595D	2A885
13-5974	2A91C
13-5A26	2A919
13-5A2C	2A91B
13-5A2F	2A91E
13-5A31	2A91A
13-5A3B	2A95F
13-5A3F	2A961
13-5A48	2A997
13-5A4C	2A9A4
13-5A56	2A9A2
13-5A59	2A9A5
13-5A5D	2A9A0
13-5A70	2A9E9
13-5B3F	2AAA1
13-5B4B	2AAA2
13-5B4C	2AAB2
13-5B55	2AAC9
13-5B5B	2AB25
13-5B5F	2AB28
